epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8935,1.49727,2.30433,1.52501,0.76598,0.23242,0.44858,0.24403,1.43894,2.6449,1.52474,0.000364455,0.000364455,0.000364455
2,116.882,1.44316,1.49785,1.44208,0.73633,0.53826,0.59709,0.30831,1.5485,1.70808,1.60562,0.000705691,0.000705691,0.000705691
3,184.887,1.42387,1.37387,1.41671,0.67437,0.49748,0.5407,0.26643,1.65971,1.59917,1.7307,0.0010176,0.0010176,0.0010176
4,257.327,1.43185,1.34403,1.42733,0.68277,0.6266,0.6707,0.33647,1.54372,1.36906,1.63225,0.000979013,0.000979013,0.000979013
5,327.623,1.39386,1.26687,1.37829,0.63813,0.57629,0.60868,0.3206,1.51114,1.2979,1.59767,0.000935018,0.000935018,0.000935018
6,403.379,1.40716,1.2431,1.4034,0.65561,0.43146,0.41922,0.20203,1.69855,1.34049,1.71703,0.000891022,0.000891022,0.000891022
7,485.771,1.38075,1.187,1.37541,0.81558,0.41548,0.44257,0.23116,1.52074,1.15521,1.58407,0.000847026,0.000847026,0.000847026
8,574.76,1.36806,1.13249,1.36483,0.69385,0.41242,0.41583,0.22728,1.43021,1.10474,1.52403,0.000803031,0.000803031,0.000803031
9,665.756,1.35003,1.10443,1.36736,0.75882,0.36873,0.39327,0.2145,1.484,1.0676,1.54145,0.000759035,0.000759035,0.000759035
10,757.227,1.345,1.07364,1.36065,0.79007,0.38004,0.41359,0.22328,1.44128,1.02284,1.51415,0.00071504,0.00071504,0.00071504
11,844.46,1.32305,1.04605,1.34566,0.7794,0.4024,0.43509,0.23981,1.42953,0.99772,1.50488,0.000671044,0.000671044,0.000671044
12,936.482,1.30768,1.01225,1.34152,0.69624,0.47847,0.52034,0.29635,1.46359,0.99753,1.52996,0.000627048,0.000627048,0.000627048
13,1025.06,1.31853,0.99677,1.32556,0.76151,0.51962,0.54382,0.30922,1.39306,0.98792,1.48127,0.000583053,0.000583053,0.000583053
14,1116.21,1.302,0.97363,1.31731,0.69093,0.53648,0.54265,0.30362,1.44581,0.94053,1.51975,0.000539057,0.000539057,0.000539057
15,1220.04,1.28067,0.95668,1.31162,0.77572,0.43066,0.4791,0.27322,1.42646,0.90778,1.49515,0.000495062,0.000495062,0.000495062
16,1339.97,1.26029,0.89587,1.32183,0.74198,0.53737,0.54255,0.31299,1.39106,0.90395,1.46384,0.000451066,0.000451066,0.000451066
17,1450.28,1.24654,0.84921,1.31363,0.70965,0.55605,0.5488,0.31429,1.40975,0.89126,1.48531,0.00040707,0.00040707,0.00040707
18,1559.82,1.21031,0.8339,1.29704,0.72943,0.7208,0.73623,0.42032,1.39032,0.8529,1.47948,0.000363075,0.000363075,0.000363075
19,1664.81,1.1944,0.80197,1.28374,0.82197,0.71533,0.74922,0.43464,1.37768,0.82088,1.45744,0.000319079,0.000319079,0.000319079
20,1769.44,1.17608,0.77765,1.27619,0.84813,0.67206,0.70364,0.40552,1.36978,0.81984,1.46164,0.000275084,0.000275084,0.000275084
21,1868.91,1.15949,0.7559,1.26889,0.81203,0.82196,0.85783,0.48134,1.38073,0.80876,1.46517,0.000231088,0.000231088,0.000231088
22,1964.05,1.1479,0.74085,1.24525,0.84113,0.75764,0.81626,0.45502,1.38385,0.80293,1.47826,0.000187092,0.000187092,0.000187092
23,2057.97,1.132,0.72417,1.24198,0.85157,0.81537,0.85745,0.48945,1.36217,0.79995,1.45424,0.000143097,0.000143097,0.000143097
24,2148.74,1.11805,0.70746,1.22858,0.80394,0.84244,0.85754,0.4802,1.37732,0.78741,1.46299,9.91012e-05,9.91012e-05,9.91012e-05
25,2232.52,1.10657,0.69864,1.22652,0.83627,0.84284,0.85542,0.48448,1.36647,0.77999,1.45351,5.51056e-05,5.51056e-05,5.51056e-05
