epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,190.2,1.49325,2.04994,1.39783,0.76371,0.66768,0.7245,0.40878,1.44638,1.18183,1.38605,0.0099865,0.00332883,0.0099865,0.00332883,0.0099865,0.00332883,0.0099865,0.00332883
2,353.18,1.33487,1.20807,1.28533,0.78232,0.70686,0.77221,0.44665,1.39552,1.06068,1.36623,0.0197886,0.00659621,0.0197886,0.00659621,0.0197886,0.00659621,0.0197886,0.00659621
3,492.808,1.34192,1.14336,1.29114,0.7246,0.61182,0.66391,0.37254,1.52259,1.33564,1.45031,0.0293928,0.00979759,0.0293928,0.00979759,0.0293928,0.00979759,0.0293928,0.00979759
4,632.202,1.346,1.0929,1.29587,0.8059,0.72429,0.79263,0.46968,1.36731,0.9656,1.35186,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,771.403,1.29064,0.99054,1.26477,0.81872,0.72307,0.79754,0.48004,1.34671,0.96037,1.34829,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,911.305,1.25486,0.92967,1.24427,0.838,0.74967,0.82487,0.50189,1.30411,0.88279,1.30256,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1050.56,1.22925,0.89212,1.22547,0.84342,0.77314,0.83874,0.51921,1.2679,0.82142,1.27744,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1190.13,1.20289,0.85762,1.21098,0.85418,0.76306,0.83575,0.52021,1.26369,0.81313,1.27417,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1329.25,1.19374,0.83741,1.20346,0.86552,0.77645,0.85473,0.54126,1.22579,0.7669,1.25272,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1469.4,1.1791,0.82226,1.19382,0.87365,0.79288,0.86345,0.54435,1.21982,0.74996,1.24435,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1609.42,1.16778,0.80474,1.18495,0.87357,0.79368,0.86434,0.54735,1.21695,0.73914,1.23997,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1749.56,1.1562,0.78801,1.17973,0.87105,0.80797,0.87365,0.56076,1.19333,0.71335,1.22574,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1889.5,1.14435,0.78048,1.174,0.87047,0.80335,0.87072,0.55919,1.19401,0.71173,1.2255,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2030.27,1.14033,0.76792,1.16975,0.8714,0.81261,0.87853,0.5663,1.18944,0.69975,1.21736,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2170.06,1.13455,0.76056,1.16455,0.88329,0.81598,0.88477,0.57094,1.17996,0.6838,1.21554,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2310.73,1.1233,0.75142,1.16303,0.87974,0.82192,0.88209,0.57194,1.16993,0.67605,1.20587,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2451.06,1.12033,0.7451,1.15625,0.88684,0.81793,0.88483,0.57638,1.16217,0.67061,1.19958,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2591.54,1.1162,0.74107,1.15487,0.87923,0.82585,0.88711,0.57828,1.16398,0.66575,1.20174,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
