epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,714.837,1.33799,1.07847,1.46986,0.62312,0.52982,0.5594,0.32195,1.34317,0.9315,1.49909,4.9963e-05,4.9963e-05,0.050087
2,1126.15,1.27995,0.97896,1.42002,0.65402,0.54669,0.58983,0.34053,1.3335,0.88036,1.47336,9.96892e-05,9.96892e-05,0.000136726
3,1538.98,1.26344,0.95489,1.40853,0.65683,0.55918,0.59269,0.34317,1.32544,0.8665,1.46329,9.89074e-05,9.89074e-05,9.89074e-05
4,1950.83,1.25967,0.94819,1.40268,0.66926,0.55752,0.59654,0.34671,1.3252,0.86438,1.46592,9.75529e-05,9.75529e-05,9.75529e-05
5,2362.81,1.24845,0.93652,1.40022,0.6525,0.56852,0.6008,0.35138,1.30835,0.85207,1.45014,9.56773e-05,9.56773e-05,9.56773e-05
6,2773.87,1.2451,0.92999,1.39036,0.66505,0.55955,0.60201,0.35326,1.30683,0.85002,1.44484,9.33013e-05,9.33013e-05,9.33013e-05
7,3183.23,1.24445,0.93559,1.39345,0.66471,0.56383,0.60446,0.35606,1.29587,0.84239,1.43698,9.04509e-05,9.04509e-05,9.04509e-05
8,3595.68,1.23792,0.91837,1.38011,0.68008,0.565,0.60629,0.35708,1.28866,0.83696,1.42888,8.71574e-05,8.71574e-05,8.71574e-05
9,4008.02,1.23318,0.91394,1.3809,0.6616,0.57417,0.60751,0.35858,1.27654,0.83385,1.42278,8.34567e-05,8.34567e-05,8.34567e-05
10,4421.22,1.23497,0.91713,1.37721,0.67897,0.56686,0.60975,0.35785,1.2897,0.82964,1.43101,7.93895e-05,7.93895e-05,7.93895e-05
11,4832.54,1.23496,0.91478,1.37612,0.68824,0.56783,0.61527,0.36578,1.26055,0.82383,1.41422,7.50003e-05,7.50003e-05,7.50003e-05
12,5242.66,1.23353,0.91488,1.37718,0.67514,0.5715,0.61599,0.36555,1.27536,0.82415,1.42149,7.03371e-05,7.03371e-05,7.03371e-05
13,5655.09,1.22468,0.89824,1.37231,0.68812,0.56875,0.61632,0.364,1.27982,0.82035,1.4221,6.54512e-05,6.54512e-05,6.54512e-05
14,6067.55,1.22833,0.90131,1.37382,0.66787,0.58194,0.61662,0.36466,1.27176,0.81747,1.41301,6.0396e-05,6.0396e-05,6.0396e-05
15,6479.13,1.22272,0.90182,1.37161,0.68623,0.56485,0.61799,0.3681,1.26518,0.81477,1.41008,5.52269e-05,5.52269e-05,5.52269e-05
16,6891.04,1.22088,0.89594,1.36713,0.68626,0.57729,0.62216,0.37034,1.26003,0.81126,1.40655,5.00005e-05,5.00005e-05,5.00005e-05
17,7301.55,1.21841,0.89186,1.36763,0.68469,0.57987,0.62476,0.37113,1.26481,0.809,1.40933,4.47741e-05,4.47741e-05,4.47741e-05
18,7712.95,1.21662,0.8909,1.36509,0.68547,0.5852,0.62703,0.37255,1.26289,0.80982,1.4048,3.9605e-05,3.9605e-05,3.9605e-05
19,8125.01,1.22341,0.89733,1.37495,0.68863,0.5827,0.62759,0.37422,1.25923,0.80613,1.40675,3.45498e-05,3.45498e-05,3.45498e-05
20,8536.46,1.21442,0.884,1.35941,0.6619,0.5897,0.62626,0.37441,1.25694,0.80518,1.40321,2.96639e-05,2.96639e-05,2.96639e-05
21,8948.91,1.217,0.88591,1.3631,0.67305,0.58602,0.62628,0.37322,1.26228,0.80233,1.40692,2.50008e-05,2.50008e-05,2.50008e-05
22,9361.08,1.21171,0.88549,1.36098,0.66205,0.59365,0.62739,0.37512,1.25724,0.80204,1.40362,2.06115e-05,2.06115e-05,2.06115e-05
23,9772.72,1.21799,0.88164,1.36672,0.67183,0.59328,0.62917,0.37334,1.27238,0.8032,1.41123,1.65443e-05,1.65443e-05,1.65443e-05
24,10184.3,1.21365,0.88394,1.36769,0.68172,0.58555,0.62887,0.376,1.25234,0.79878,1.40022,1.28436e-05,1.28436e-05,1.28436e-05
25,10595.8,1.21498,0.88404,1.36278,0.67218,0.5852,0.62819,0.37549,1.25753,0.79807,1.40261,9.55005e-06,9.55005e-06,9.55005e-06
26,11011.8,1.21872,0.8619,1.37034,0.66624,0.59226,0.62691,0.3737,1.26021,0.79794,1.40378,6.69966e-06,6.69966e-06,6.69966e-06
27,11422.3,1.21711,0.8537,1.36684,0.66339,0.59199,0.62716,0.37496,1.2551,0.7972,1.40184,4.32368e-06,4.32368e-06,4.32368e-06
28,11832.7,1.21275,0.85726,1.3654,0.67752,0.58801,0.62801,0.3745,1.26007,0.79744,1.40379,2.44815e-06,2.44815e-06,2.44815e-06
29,12241.3,1.2174,0.85964,1.36791,0.66999,0.59393,0.62798,0.37556,1.25554,0.79609,1.40156,1.09361e-06,1.09361e-06,1.09361e-06
30,12651.4,1.21773,0.86246,1.37325,0.67616,0.58728,0.62802,0.37526,1.25485,0.79673,1.40133,2.74902e-07,2.74902e-07,2.74902e-07
